Datetime,Weekly_Electricity_Consumption_MWh
2002-01-13,5289881.0
2002-01-20,5284084.0
2002-01-27,5063777.0
2002-02-03,4905010.0
2002-02-10,5233287.0
2002-02-17,5143583.0
2002-02-24,4896214.0
2002-03-03,5017994.0
2002-03-10,4946073.0
2002-03-17,4817027.0
2002-03-24,5027818.0
2002-03-31,4636106.0
2002-04-07,4752178.5
2002-04-14,4566657.0
2002-04-21,5289394.0
2002-04-28,4589237.0
2002-05-05,4524153.0
2002-05-12,4634632.0
2002-05-19,4637948.0
2002-05-26,4616710.0
2002-06-02,5283375.0
2002-06-09,5201582.0
2002-06-16,5450641.0
2002-06-23,5467974.0
2002-06-30,6595263.0
2002-07-07,6489278.0
2002-07-14,5772332.0
2002-07-21,6664859.0
2002-07-28,6128905.0
2002-08-04,7285813.0
2002-08-11,5873668.0
2002-08-18,7318000.0
2002-08-25,6473923.0
2002-09-01,5173860.0
2002-09-08,5297909.0
2002-09-15,5465185.0
2002-09-22,5554932.0
2002-09-29,4911275.0
2002-10-06,5215118.0
2002-10-13,4656053.0
2002-10-20,4620811.0
2002-10-27,4720649.0
2002-11-03,5006374.0
2002-11-10,4875037.0
2002-11-17,4852157.0
2002-11-24,5063058.0
2002-12-01,5030960.0
2002-12-08,5744541.0
2002-12-15,5645375.0
2002-12-22,5455589.0
2002-12-29,5188376.0
2003-01-05,5213781.0
2003-01-12,5548340.0
2003-01-19,6047924.0
2003-01-26,6244484.0
2003-02-02,5928453.0
2003-02-09,5635841.0
2003-02-16,5969643.0
2003-02-23,5547941.0
2003-03-02,5697744.0
2003-03-09,5489138.0
2003-03-16,5286950.0
2003-03-23,4787713.0
2003-03-30,4687507.0
2003-04-06,4913341.5
2003-04-13,5051031.0
2003-04-20,4594954.0
2003-04-27,4572881.0
2003-05-04,4570797.0
2003-05-11,4627934.0
2003-05-18,4572087.0
2003-05-25,4557119.0
2003-06-01,4501352.0
2003-06-08,4640027.0
2003-06-15,5427375.0
2003-06-22,4915562.0
2003-06-29,6260382.0
2003-07-06,6147682.0
2003-07-13,6176609.0
2003-07-20,5919031.0
2003-07-27,6310732.0
2003-08-03,6083254.0
2003-08-10,6222003.0
2003-08-17,6543387.0
2003-08-24,6250469.0
2003-08-31,6046236.0
2003-09-07,5239913.0
2003-09-14,5191789.0
2003-09-21,5105413.0
2003-09-28,5109924.0
2003-10-05,4646000.0
2003-10-12,4686366.0
2003-10-19,4634089.0
2003-10-26,4773663.0
2003-11-02,4743628.0
2003-11-09,4836811.0
2003-11-16,5042928.0
2003-11-23,4860678.0
2003-11-30,4849511.0
2003-12-07,5674506.0
2003-12-14,5665803.0
2003-12-21,5762066.0
2003-12-28,5085089.0
2004-01-04,4931427.0
2004-01-11,6063214.0
2004-01-18,6184831.0
2004-01-25,6371503.0
2004-02-01,6374098.0
2004-02-08,5838205.0
2004-02-15,5569533.0
2004-02-22,5558006.0
2004-02-29,5385624.0
2004-03-07,4855934.0
2004-03-14,5237510.0
2004-03-21,5269073.0
2004-03-28,4981844.0
2004-04-04,4986324.5
2004-04-11,4818186.0
2004-04-18,4809109.0
2004-04-25,4748611.0
2004-05-02,4719122.0
2004-05-09,4670974.0
2004-05-16,5721999.0
2004-05-23,5617433.0
2004-05-30,5498074.0
2004-06-06,4804565.0
2004-06-13,5558504.0
2004-06-20,6163986.0
2004-06-27,5651829.0
2004-07-04,5810139.0
2004-07-11,6186228.0
2004-07-18,5772503.0
2004-07-25,6078907.0
2004-08-01,6201687.0
2004-08-08,5837044.0
2004-08-15,5859046.0
2004-08-22,5989355.0
2004-08-29,6082631.0
2004-09-05,5882953.0
2004-09-12,5500369.0
2004-09-19,5313511.0
2004-09-26,5085853.0
2004-10-03,4969600.0
2004-10-10,4716321.0
2004-10-17,4697217.0
2004-10-24,4818003.0
2004-10-31,4759029.0
2004-11-07,4782147.0
2004-11-14,5121631.0
2004-11-21,4947557.0
2004-11-28,4782772.0
2004-12-05,5222874.0
2004-12-12,5244293.0
2004-12-19,5713762.0
2004-12-26,5840791.0
2005-01-02,5405928.0
2005-01-09,5312718.0
2005-01-16,5458009.0
2005-01-23,6524094.0
2005-01-30,6348528.0
2005-02-06,5743231.0
2005-02-13,5421451.0
2005-02-20,5591869.0
2005-02-27,5627652.0
2005-03-06,5732189.0
2005-03-13,5560286.0
2005-03-20,5301764.0
2005-03-27,5135648.0
2005-04-03,4983052.0
2005-04-10,4722233.0
2005-04-17,4689294.0
2005-04-24,4723674.0
2005-05-01,4667901.0
2005-05-08,4662007.0
2005-05-15,4719885.0
2005-05-22,4642901.0
2005-05-29,4670912.0
2005-06-05,4810756.0
2005-06-12,6609732.0
2005-06-19,6154745.0
2005-06-26,5858890.0
2005-07-03,6471324.0
2005-07-10,5894345.0
2005-07-17,6794415.0
2005-07-24,7173404.0
2005-07-31,6870970.0
2005-08-07,7185457.0
2005-08-14,7202158.0
2005-08-21,6490696.0
2005-08-28,5924172.0
2005-09-04,6329078.0
2005-09-11,5478260.0
2005-09-18,6345306.0
2005-09-25,5759209.0
2005-10-02,5037519.0
2005-10-09,5251948.0
2005-10-16,4810241.0
2005-10-23,4764766.0
2005-10-30,5013503.5
2005-11-06,4809920.0
2005-11-13,4869993.0
2005-11-20,5106260.0
2005-11-27,5310886.0
2005-12-04,5336063.0
2005-12-11,5987009.0
2005-12-18,6141606.0
2005-12-25,5821319.0
2006-01-01,5314910.0
2006-01-08,5564692.0
2006-01-15,5352257.0
2006-01-22,5523164.0
2006-01-29,5596433.0
2006-02-05,5246879.0
2006-02-12,5751500.0
2006-02-19,5617103.0
2006-02-26,5686900.0
2006-03-05,5760726.0
2006-03-12,5089121.0
2006-03-19,5120854.0
2006-03-26,5313073.0
2006-04-02,4811710.5
2006-04-09,4877612.0
2006-04-16,4587535.0
2006-04-23,4650194.0
2006-04-30,4618237.0
2006-05-07,4712846.0
2006-05-14,4663574.0
2006-05-21,4669214.0
2006-05-28,4877623.0
2006-06-04,5901065.0
2006-06-11,5016738.0
2006-06-18,5519893.0
2006-06-25,6412915.0
2006-07-02,6265292.0
2006-07-09,5990422.0
2006-07-16,6889527.0
2006-07-23,7148141.0
2006-07-30,7017653.0
2006-08-06,7757584.0
2006-08-13,6160321.0
2006-08-20,6420854.0
2006-08-27,6235014.0
2006-09-03,5519157.0
2006-09-10,5255935.0
2006-09-17,5075746.0
2006-09-24,5186067.0
2006-10-01,4870444.0
2006-10-08,4879199.0
2006-10-15,4871446.0
2006-10-22,4880136.0
2006-10-29,5059578.0
2006-11-05,5052252.0
2006-11-12,4938103.0
2006-11-19,4989320.0
2006-11-26,5069452.0
2006-12-03,5087731.0
2006-12-10,5811834.0
2006-12-17,5311615.0
2006-12-24,5334872.0
2006-12-31,5156333.0
2007-01-07,5079673.0
2007-01-14,5432341.0
2007-01-21,5770481.0
2007-01-28,5999437.0
2007-02-04,6108365.0
2007-02-11,6670293.0
2007-02-18,6316926.0
2007-02-25,5885631.0
2007-03-04,5497720.0
2007-03-11,5935684.0
2007-03-18,5343822.0
2007-03-25,5162091.0
2007-04-01,4872695.0
2007-04-08,5076751.0
2007-04-15,5185963.0
2007-04-22,5017021.0
2007-04-29,4777965.0
2007-05-06,4733939.0
2007-05-13,4994543.0
2007-05-20,4900537.0
2007-05-27,5319374.0
2007-06-03,5915465.0
2007-06-10,5713585.0
2007-06-17,5501597.0
2007-06-24,5896358.0
2007-07-01,6434830.0
2007-07-08,5690155.0
2007-07-15,6733262.0
2007-07-22,6404912.0
2007-07-29,6347953.0
2007-08-05,7052265.0
2007-08-12,6928641.0
2007-08-19,6271920.0
2007-08-26,5832853.0
2007-09-02,6087831.0
2007-09-09,6279558.0
